nohup: 忽略输入
===================================================================
🚀 启动 OURS 核心机制 Benchmark (TEE 串行投影 + Server 异常检测)
===================================================================

[System] 正在初始化 SGX Enclave...
[TEEAdapter] Init OK: /home/xd/sjh/exp/Dection_and_Score/lib/enclave.signed.so
[Benchmark] 开始执行双重维度测试矩阵...

➤ 正在评估模型维度: P = 2^10 (1024 参数)
   >> 正在串行评估 TEE 投影时间...
➤ 正在评估模型维度: P = 2^15 (32768 参数)
   >> 正在串行评估 TEE 投影时间...
➤ 正在评估模型维度: P = 2^20 (1048576 参数)
   >> 正在串行评估 TEE 投影时间...
➤ 正在评估模型维度: P = 2^25 (33554432 参数)
   >> 正在串行评估 TEE 投影时间...

✅ 所有 Benchmark 执行完毕！正在生成报表...

| P (2^x)  | P_Size     | K_Dim  | N      || T_proj (ms)  | C_up (KB)  || T_detect (ms) | C_down (KB) |
|----------|------------|--------|--------||--------------|------------||---------------|-------------|
| 10       | 1024       | 1024   | 10     || 5.82         | 4.16       || 45.36         | 0.30        |
| 10       | 1024       | 1024   | 100    || 5.82         | 4.16       || 16.90         | 2.15        |
| 10       | 1024       | 1024   | 1000   || 5.82         | 4.16       || 810.29        | 20.94       |
| 10       | 1024       | 1024   | 10000  || 5.82         | 4.16       || 2896.68       | 210.49      |
| 15       | 32768      | 1024   | 10     || 179.38       | 4.16       || 9.90          | 0.29        |
| 15       | 32768      | 1024   | 100    || 179.38       | 4.16       || 15.41         | 2.12        |
| 15       | 32768      | 1024   | 1000   || 179.38       | 4.16       || 1193.16       | 21.09       |
| 15       | 32768      | 1024   | 10000  || 179.38       | 4.16       || 2679.63       | 211.74      |
| 20       | 1048576    | 1024   | 10     || 5769.49      | 4.16       || 12.29         | 0.27        |
| 20       | 1048576    | 1024   | 100    || 5769.49      | 4.16       || 15.55         | 1.72        |
| 20       | 1048576    | 1024   | 1000   || 5769.49      | 4.16       || 941.15        | 16.67       |
| 20       | 1048576    | 1024   | 10000  || 5769.49      | 4.16       || 2088.63       | 168.26      |
| 25       | 33554432   | 1024   | 10     || 194598.37    | 4.16       || 13.26         | 0.27        |
| 25       | 33554432   | 1024   | 100    || 194598.37    | 4.16       || 14.52         | 1.75        |
| 25       | 33554432   | 1024   | 1000   || 194598.37    | 4.16       || 792.79        | 17.56       |
| 25       | 33554432   | 1024   | 10000  || 194598.37    | 4.16       || 1994.44       | 174.10      |

💾 数据已成功落盘至: /home/xd/sjh/exp/Dection_and_Score/projection_detection_benchmark.csv
