Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,28.5569,NORMAL,79.5678,79.8786,81.8081,6.1877,6.2353,6.5409,0.0156,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,2.6657,NORMAL,78.8910,79.8786,81.8081,6.0827,6.2353,6.5409,0.0137,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,5.9239,NORMAL,79.9067,79.8786,81.8081,6.2409,6.2353,6.5409,0.0185,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,2.8102,NORMAL,80.8462,79.8786,81.8081,6.3871,6.2353,6.5409,0.0178,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,89.1568,NORMAL,79.9064,79.8786,81.8081,6.2401,6.2353,6.5409,0.0154,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,2.4190,NORMAL,79.9181,79.8786,81.8081,6.2432,6.2353,6.5409,0.0199,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",82.7230,79.8786,81.8081,6.6868,6.2353,6.5409,0.0206,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,1.0466,NORMAL,81.7220,79.8786,81.8081,6.5283,6.2353,6.5409,0.0181,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,7.6520,NORMAL,79.2250,79.8786,81.8081,6.1339,6.2353,6.5409,0.0132,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,16.4414,NORMAL,80.3292,79.8786,81.8081,6.3066,6.2353,6.5409,0.0137,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,3.4702,NORMAL,80.7712,79.8786,81.8081,6.3755,6.2353,6.5409,0.0146,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,1.4190,NORMAL,78.5581,79.8786,81.8081,6.0326,6.2353,6.5409,0.0176,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo)",77.8253,79.8786,81.8081,5.9172,6.2353,6.5409,0.0136,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,1.9541,NORMAL,78.7566,79.8786,81.8081,6.0613,6.2353,6.5409,0.0131,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,13.4661,NORMAL,79.9311,79.8786,81.8081,6.2425,6.2353,6.5409,0.0131,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,11.8495,NORMAL,80.0201,79.8786,81.8081,6.2571,6.2353,6.5409,0.0177,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,49.8110,NORMAL,79.7056,79.8786,81.8081,6.2083,6.2353,6.5409,0.0153,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,8.8596,NORMAL,79.8509,79.8786,81.8081,6.2305,6.2353,6.5409,0.0180,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,18.3200,NORMAL,79.6130,79.8786,81.8081,6.1921,6.2353,6.5409,0.0135,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,12.8359,NORMAL,79.3644,79.8786,81.8081,6.1538,6.2353,6.5409,0.0146,0.0153,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,39.2545,NORMAL,44.5907,44.3217,46.5610,1.9436,1.9201,2.1156,0.0886,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,24.5882,NORMAL,44.3797,44.3217,46.5610,1.9253,1.9201,2.1156,0.0808,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,0.0100,SUSPECT(full:Dist),42.9380,44.3217,46.5610,1.8014,1.9201,2.1156,0.1185,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,13.8692,NORMAL,43.8729,44.3217,46.5610,1.8810,1.9201,2.1156,0.0781,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,19.8850,NORMAL,44.7883,44.3217,46.5610,1.9607,1.9201,2.1156,0.0857,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,33.1822,NORMAL,44.0153,44.3217,46.5610,1.8924,1.9201,2.1156,0.0849,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,11.1712,NORMAL,44.1274,44.3217,46.5610,1.9034,1.9201,2.1156,0.0969,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,75.8102,NORMAL,44.2636,44.3217,46.5610,1.9150,1.9201,2.1156,0.0883,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,4.9280,NORMAL,45.2241,44.3217,46.5610,1.9992,1.9201,2.1156,0.0994,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,6.9853,NORMAL,44.8948,44.3217,46.5610,1.9702,1.9201,2.1156,0.0992,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Benign,2.6543,NORMAL,45.4633,44.3217,46.5610,2.0204,1.9201,2.1156,0.0796,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Benign,1.2385,NORMAL,44.7896,44.3217,46.5610,1.9609,1.9201,2.1156,0.1131,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Benign,5.3418,NORMAL,43.7752,44.3217,46.5610,1.8725,1.9201,2.1156,0.0734,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Benign,37.1052,NORMAL,44.0382,44.3217,46.5610,1.8953,1.9201,2.1156,0.0843,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Benign,0.0100,SUSPECT(full:Dist),43.0785,44.3217,46.5610,1.8140,1.9201,2.1156,0.1209,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,15,Benign,0.0100,SUSPECT(full:Dist),45.7483,44.3217,46.5610,2.0448,1.9201,2.1156,0.1183,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,16,Benign,1.0790,NORMAL,46.2911,44.3217,46.5610,2.0947,1.9201,2.1156,0.1029,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,17,Benign,1.0800,NORMAL,46.2906,44.3217,46.5610,2.0944,1.9201,2.1156,0.0795,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,18,Benign,2.1415,NORMAL,43.0697,44.3217,46.5610,1.8133,1.9201,2.1156,0.0786,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,19,Benign,2.2387,NORMAL,43.0925,44.3217,46.5610,1.8152,1.9201,2.1156,0.0817,0.0870,0.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,Benign,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",27.6674,30.2283,32.4256,0.7464,0.8928,1.0232,0.2420,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,Benign,2.8209,NORMAL,29.7176,30.2283,32.4256,0.8630,0.8928,1.0232,0.2165,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,Benign,0.0100,SUSPECT(full:Dist),30.1000,30.2283,32.4256,0.8852,0.8928,1.0232,0.2422,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,Benign,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo)",27.8500,30.2283,32.4256,0.7581,0.8928,1.0232,0.1759,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,Benign,1.0839,NORMAL,28.2829,30.2283,32.4256,0.7808,0.8928,1.0232,0.1780,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,5,Benign,15.6691,NORMAL,30.7463,30.2283,32.4256,0.9241,0.8928,1.0232,0.1775,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,6,Benign,56.7231,NORMAL,30.0798,30.2283,32.4256,0.8832,0.8928,1.0232,0.1831,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,Benign,2.2588,NORMAL,29.2392,30.2283,32.4256,0.8355,0.8928,1.0232,0.1554,0.1873,0.2383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
