Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,12.5434,NORMAL,75.9674,76.8483,80.1123,5.6412,5.7729,6.2646,0.0191,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,43.1167,NORMAL,77.2011,76.8483,80.1123,5.8258,5.7729,6.2646,0.0199,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,2.0707,NORMAL,77.0634,76.8483,80.1123,5.8045,5.7729,6.2646,0.0149,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,12.7926,NORMAL,75.9762,76.8483,80.1123,5.6424,5.7729,6.2646,0.0178,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,3.3494,NORMAL,75.3179,76.8483,80.1123,5.5450,5.7729,6.2646,0.0220,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,39.2471,NORMAL,77.0579,76.8483,80.1123,5.8044,5.7729,6.2646,0.0205,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,5.0132,NORMAL,75.5364,76.8483,80.1123,5.5770,5.7729,6.2646,0.0185,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,5.2707,NORMAL,76.6388,76.8483,80.1123,5.7414,5.7729,6.2646,0.0163,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,11.4532,NORMAL,77.3963,76.8483,80.1123,5.8554,5.7729,6.2646,0.0172,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,1.2664,NORMAL,78.5225,76.8483,80.1123,6.0271,5.7729,6.2646,0.0255,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,4.1965,NORMAL,75.4436,76.8483,80.1123,5.5637,5.7729,6.2646,0.0184,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,1.1193,NORMAL,78.0069,76.8483,80.1123,5.9482,5.7729,6.2646,0.0263,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,21.4580,NORMAL,77.4951,76.8483,80.1123,5.8704,5.7729,6.2646,0.0203,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,1.2353,NORMAL,74.7160,76.8483,80.1123,5.4558,5.7729,6.2646,0.0256,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,1.1793,NORMAL,79.3962,76.8483,80.1123,6.1616,5.7729,6.2646,0.0181,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,16.3148,NORMAL,76.0885,76.8483,80.1123,5.6576,5.7729,6.2646,0.0189,0.0195,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
