Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,8.1157,NORMAL,78.0125,80.2203,86.9346,5.9489,6.2878,7.3137,0.4254,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,2.6330,NORMAL,78.4693,80.2203,86.9346,6.0189,6.2878,7.3137,0.5203,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,59.6218,NORMAL,80.4026,80.2203,86.9346,6.3144,6.2878,7.3137,0.4544,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,1.3012,NORMAL,78.0151,80.2203,86.9346,5.9403,6.2878,7.3137,0.5515,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,1.4463,NORMAL,82.6515,80.2203,86.9346,6.6776,6.2878,7.3137,0.5442,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,1.7304,NORMAL,77.9920,80.2203,86.9346,5.9459,6.2878,7.3137,0.5352,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,15.7526,NORMAL,81.8265,80.2203,86.9346,6.5318,6.2878,7.3137,0.4332,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,6.3446,NORMAL,82.5350,80.2203,86.9346,6.6509,6.2878,7.3137,0.3906,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Malicious,32.8627,NORMAL,81.1802,80.2203,86.9346,6.4340,6.2878,7.3137,0.4500,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,56.5860,NORMAL,79.7395,80.2203,86.9346,6.2125,6.2878,7.3137,0.4403,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,1.9043,NORMAL,77.1395,80.2203,86.9346,5.7956,6.2878,7.3137,0.5312,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,13.5302,NORMAL,79.6015,80.2203,86.9346,6.1876,6.2878,7.3137,0.4063,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,3.4407,NORMAL,82.4768,80.2203,86.9346,6.6269,6.2878,7.3137,0.3762,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Malicious,22.5713,NORMAL,78.9384,80.2203,86.9346,6.0911,6.2878,7.3137,0.4488,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,44.2366,NORMAL,80.2668,80.2203,86.9346,6.2978,6.2878,7.3137,0.4291,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,80.5553,NORMAL,80.1737,80.2203,86.9346,6.2779,6.2878,7.3137,0.4403,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,11.5778,NORMAL,82.0777,80.2203,86.9346,6.5647,6.2878,7.3137,0.4032,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Malicious,0.0100,SUSPECT(full:Dist),80.3266,80.2203,86.9346,6.3068,6.2878,7.3137,0.5851,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,4.7356,NORMAL,82.8480,80.2203,86.9346,6.7094,6.2878,7.3137,0.4091,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,44.2345,NORMAL,79.5924,80.2203,86.9346,6.1803,6.2878,7.3137,0.4533,0.4446,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Malicious,0.0100,SUSPECT(full:Dist),74.7323,72.6146,76.2940,5.4585,5.1461,5.6996,0.6103,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,1.6513,NORMAL,72.6079,72.6146,76.2940,5.1432,5.1461,5.6996,0.4613,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,56.2994,NORMAL,72.6664,72.6146,76.2940,5.1490,5.1461,5.6996,0.5053,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,9.1962,NORMAL,73.4749,72.6146,76.2940,5.2747,5.1461,5.6996,0.4864,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,2.5844,NORMAL,73.5940,72.6146,76.2940,5.2942,5.1461,5.6996,0.4701,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo)",68.4948,72.6146,76.2940,4.5731,5.1461,5.6996,0.5261,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,4.2583,NORMAL,72.6488,72.6146,76.2940,5.1578,5.1461,5.6996,0.4772,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,2.1588,NORMAL,70.5644,72.6146,76.2940,4.8549,5.1461,5.6996,0.5468,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",78.9331,72.6146,76.2940,6.0869,5.1461,5.6996,0.5396,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,2.5957,NORMAL,70.7115,72.6146,76.2940,4.8796,5.1461,5.6996,0.4988,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Benign,60.2369,NORMAL,72.3738,72.6146,76.2940,5.1188,5.1461,5.6996,0.5163,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Benign,0.0100,SUSPECT(full:L2-Lo),68.7790,72.6146,76.2940,4.6183,5.1461,5.6996,0.4758,0.5112,0.5807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
