Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,10.8121,NORMAL,57.7969,58.2122,61.7035,3.2620,3.3121,3.7075,0.2949,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,SUSPECT(full:Dist),58.3129,58.2122,61.7035,3.3168,3.3121,3.7075,0.4435,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,1.1552,NORMAL,57.8157,58.2122,61.7035,3.2672,3.3121,3.7075,0.2542,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,2.8956,NORMAL,58.1675,58.2122,61.7035,3.3073,3.3121,3.7075,0.2788,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,8.3184,NORMAL,57.0711,58.2122,61.7035,3.1830,3.3121,3.7075,0.3290,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,2.1108,NORMAL,60.1341,58.2122,61.7035,3.5345,3.3121,3.7075,0.3001,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,5.9593,NORMAL,57.5164,58.2122,61.7035,3.2323,3.3121,3.7075,0.2882,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,10.0207,NORMAL,59.2621,58.2122,61.7035,3.4300,3.3121,3.7075,0.3286,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,1.0450,NORMAL,54.8494,58.2122,61.7035,2.9382,3.3121,3.7075,0.3104,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,32.7624,NORMAL,58.7049,58.2122,61.7035,3.3687,3.3121,3.7075,0.3134,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Malicious,0.0100,SUSPECT(full:Dist),60.6782,58.2122,61.7035,3.5991,3.3121,3.7075,0.4383,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Malicious,0.0100,SUSPECT(full:Dist),55.8743,58.2122,61.7035,3.0505,3.3121,3.7075,0.4908,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,6.9771,NORMAL,58.8174,58.2122,61.7035,3.3816,3.3121,3.7075,0.2901,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,42.4855,NORMAL,57.8283,58.2122,61.7035,3.2689,3.3121,3.7075,0.3147,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,5.0810,NORMAL,59.5888,58.2122,61.7035,3.4702,3.3121,3.7075,0.3277,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,39.2141,NORMAL,57.7955,58.2122,61.7035,3.2645,3.3121,3.7075,0.3268,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,71.2943,NORMAL,58.2569,58.2122,61.7035,3.3176,3.3121,3.7075,0.3143,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,7.8593,NORMAL,57.0428,58.2122,61.7035,3.1805,3.3121,3.7075,0.3208,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Malicious,0.0100,SUSPECT(full:Dist),59.3296,58.2122,61.7035,3.4403,3.3121,3.7075,0.4740,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,6.8978,NORMAL,59.4475,58.2122,61.7035,3.4491,3.3121,3.7075,0.3394,0.3177,0.3865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,1.5485,NORMAL,50.3703,47.4780,52.1155,2.4801,2.2006,2.6301,0.3268,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Malicious,0.0100,SUSPECT(full:Dist),47.7245,47.4780,52.1155,2.2252,2.2006,2.6301,0.5371,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,2.3359,NORMAL,49.8894,47.4780,52.1155,2.4323,2.2006,2.6301,0.3274,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,7.0508,NORMAL,47.2315,47.4780,52.1155,2.1760,2.2006,2.6301,0.3185,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,49.7313,NORMAL,47.1419,47.4780,52.1155,2.1724,2.2006,2.6301,0.3468,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,4.9624,NORMAL,49.2809,47.4780,52.1155,2.3739,2.2006,2.6301,0.3199,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,25.4717,NORMAL,48.2669,47.4780,52.1155,2.2762,2.2006,2.6301,0.3326,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,5.5185,NORMAL,45.6827,47.4780,52.1155,2.0381,2.2006,2.6301,0.3405,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,13.4755,NORMAL,46.2714,47.4780,52.1155,2.0928,2.2006,2.6301,0.3305,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,2.7520,NORMAL,46.7495,47.4780,52.1155,2.1364,2.2006,2.6301,0.3735,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Malicious,0.0100,SUSPECT(full:Dist),50.0122,47.4780,52.1155,2.4450,2.2006,2.6301,0.5569,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Malicious,0.0100,SUSPECT(full:Dist),48.5902,47.4780,52.1155,2.3075,2.2006,2.6301,0.4837,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Benign,1.1017,NORMAL,48.3237,47.4780,52.1155,2.2811,2.2006,2.6301,0.2857,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Benign,1.4514,NORMAL,44.3474,47.4780,52.1155,1.9125,2.2006,2.6301,0.3416,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Benign,2.3455,NORMAL,45.4703,47.4780,52.1155,2.0161,2.2006,2.6301,0.3757,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,15,Benign,11.8580,NORMAL,46.3840,47.4780,52.1155,2.1025,2.2006,2.6301,0.3589,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,16,Benign,38.9818,NORMAL,46.9515,47.4780,52.1155,2.1543,2.2006,2.6301,0.3333,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,17,Benign,11.7342,NORMAL,48.7354,47.4780,52.1155,2.3204,2.2006,2.6301,0.3479,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,18,Malicious,0.0100,SUSPECT(full:Dist),47.8196,47.4780,52.1155,2.2352,2.2006,2.6301,0.5087,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,19,Benign,11.2588,NORMAL,46.1738,47.4780,52.1155,2.0784,2.2006,2.6301,0.3313,0.3410,0.3973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,Benign,6.4494,NORMAL,43.9764,43.4674,46.4452,1.8817,1.8457,2.1015,0.3418,0.3784,0.4665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,Malicious,0.0100,SUSPECT(full:Dist),46.1393,43.4674,46.4452,2.0784,1.8457,2.1015,0.5828,0.3784,0.4665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,Benign,40.2803,NORMAL,43.6495,43.4674,46.4452,1.8623,1.8457,2.1015,0.3902,0.3784,0.4665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,Benign,10.3222,NORMAL,42.5842,43.4674,46.4452,1.7717,1.8457,2.1015,0.3543,0.3784,0.4665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,Benign,10.2832,NORMAL,42.9069,43.4674,46.4452,1.7992,1.8457,2.1015,0.4083,0.3784,0.4665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,5,Benign,2.1017,NORMAL,42.4488,43.4674,46.4452,1.7606,1.8457,2.1015,0.3217,0.3784,0.4665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
