Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,1.3365,NORMAL,78.2642,78.0209,81.5647,5.9872,5.9429,6.4712,0.6259,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,1.1936,NORMAL,77.5792,78.0209,81.5647,5.8773,5.9429,6.4712,0.6425,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,1.0380,NORMAL,81.3118,78.0209,81.5647,6.4629,5.9429,6.4712,0.4279,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,1.9360,NORMAL,76.0005,78.0209,81.5647,5.6345,5.9429,6.4712,0.3980,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Malicious,1.1372,NORMAL,77.1952,78.0209,81.5647,5.8199,5.9429,6.4712,0.6528,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,3.8543,NORMAL,79.5737,78.0209,81.5647,6.1778,5.9429,6.4712,0.3882,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,11.5847,NORMAL,79.0157,78.0209,81.5647,6.0840,5.9429,6.4712,0.4458,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",82.4734,78.0209,81.5647,6.6485,5.9429,6.4712,0.4539,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi)",82.1176,78.0209,81.5647,6.5917,5.9429,6.4712,0.3933,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Malicious,1.1425,NORMAL,78.7456,78.0209,81.5647,6.0515,5.9429,6.4712,0.6516,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,1.1880,NORMAL,80.6500,78.0209,81.5647,6.3574,5.9429,6.4712,0.4307,0.4555,0.6650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
