Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,9.3871,NORMAL,57.2381,57.1852,63.2399,3.2006,3.1955,3.8682,0.2991,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,2.3051,NORMAL,57.1322,57.1852,63.2399,3.1904,3.1955,3.8682,0.4819,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Malicious,7.9734,NORMAL,55.1697,57.1852,63.2399,2.9752,3.1955,3.8682,0.3664,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,0.0100,SUSPECT(full:Dist),60.0404,57.1852,63.2399,3.5237,3.1955,3.8682,0.5592,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,1.3269,NORMAL,58.1750,57.1852,63.2399,3.3045,3.1955,3.8682,0.5190,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,2.2744,NORMAL,60.3725,57.1852,63.2399,3.5623,3.1955,3.8682,0.4318,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,7.4076,NORMAL,57.8648,57.1852,63.2399,3.2646,3.1955,3.8682,0.2918,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,1.2071,NORMAL,61.6708,57.1852,63.2399,3.7151,3.1955,3.8682,0.3097,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,21.0678,NORMAL,58.3729,57.1852,63.2399,3.3305,3.1955,3.8682,0.3860,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,43.9747,NORMAL,57.0474,57.1852,63.2399,3.1802,3.1955,3.8682,0.3429,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,6.3599,NORMAL,59.3407,57.1852,63.2399,3.4416,3.1955,3.8682,0.3249,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Malicious,1.1245,NORMAL,52.1227,57.1852,63.2399,2.6543,3.1955,3.8682,0.2939,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,6.5508,NORMAL,54.9970,57.1852,63.2399,2.9567,3.1955,3.8682,0.3141,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Malicious,3.7470,NORMAL,54.4774,57.1852,63.2399,2.8932,3.1955,3.8682,0.4318,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,18.0544,NORMAL,56.4339,57.1852,63.2399,3.1096,3.1955,3.8682,0.4130,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Malicious,9.7973,NORMAL,55.3455,57.1852,63.2399,2.9942,3.1955,3.8682,0.3874,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Malicious,1.2787,NORMAL,58.1344,57.1852,63.2399,3.3022,3.1955,3.8682,0.5233,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Malicious,4.6331,NORMAL,54.6762,57.1852,63.2399,2.9218,3.1955,3.8682,0.3510,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Malicious,29.1432,NORMAL,56.2632,57.1852,63.2399,3.0889,3.1955,3.8682,0.3647,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,24.5851,NORMAL,57.9422,57.1852,63.2399,3.2776,3.1955,3.8682,0.3268,0.3655,0.5533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Malicious,18.6220,NORMAL,46.6530,47.9573,53.9678,2.1272,2.2463,2.8129,0.3824,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Benign,2.7461,NORMAL,50.9062,47.9573,53.9678,2.5330,2.2463,2.8129,0.3807,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Malicious,5.2728,NORMAL,46.2901,47.9573,53.9678,2.0943,2.2463,2.8129,0.4729,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,17.2748,NORMAL,48.5508,47.9573,53.9678,2.3032,2.2463,2.8129,0.3488,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,5.7910,NORMAL,50.1914,47.9573,53.9678,2.4615,2.2463,2.8129,0.4075,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,5.6103,NORMAL,50.2228,47.9573,53.9678,2.4642,2.2463,2.8129,0.3467,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,37.9168,NORMAL,48.7059,47.9573,53.9678,2.3151,2.2463,2.8129,0.4059,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,3.8137,NORMAL,46.4988,47.9573,53.9678,2.1122,2.2463,2.8129,0.4833,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,12.5486,NORMAL,46.9031,47.9573,53.9678,2.1502,2.2463,2.8129,0.3402,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,36.0071,NORMAL,47.7888,47.9573,53.9678,2.2291,2.2463,2.8129,0.3679,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Benign,4.2281,NORMAL,50.4666,47.9573,53.9678,2.4895,2.2463,2.8129,0.3416,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Malicious,1.1700,NORMAL,43.1662,47.9573,53.9678,1.8214,2.2463,2.8129,0.5004,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Benign,11.0093,NORMAL,49.2311,47.9573,53.9678,2.3625,2.2463,2.8129,0.3366,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Malicious,4.4916,NORMAL,45.8395,47.9573,53.9678,2.0521,2.2463,2.8129,0.4779,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Benign,13.1606,NORMAL,49.5041,47.9573,53.9678,2.3955,2.2463,2.8129,0.3602,0.3941,0.5690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
