Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,1.8016,NORMAL,62.6297,59.8738,64.7012,3.8310,3.4982,4.0498,0.3009,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,22.3258,NORMAL,59.8473,59.8738,64.7012,3.4958,3.4982,4.0498,0.3168,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8494.1846,59.8738,64.7012,70397.1797,3.4982,4.0498,0.9972,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,5.9831,NORMAL,61.0200,59.8738,64.7012,3.6387,3.4982,4.0498,0.2945,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,64.4170,NORMAL,59.7153,59.8738,64.7012,3.4846,3.4982,4.0498,0.3334,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,6.2706,NORMAL,59.9002,59.8738,64.7012,3.5005,3.4982,4.0498,0.3855,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8101.0615,59.8738,64.7012,64125.0273,3.4982,4.0498,1.0345,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",8520.2891,59.8738,64.7012,70941.9141,3.4982,4.0498,1.0262,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,71.0983,NORMAL,59.6827,59.8738,64.7012,3.4737,3.4982,4.0498,0.3410,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,43.3718,NORMAL,59.3556,59.8738,64.7012,3.4438,3.4982,4.0498,0.3398,0.3404,0.4476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
