Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,1.2648,NORMAL,68.4094,66.2984,71.8911,4.5672,4.2905,5.0111,0.0170,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,7.7234,NORMAL,67.6293,66.2984,71.8911,4.4615,4.2905,5.0111,0.0136,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,17.9187,NORMAL,66.0888,66.2984,71.8911,4.2657,4.2905,5.0111,0.0126,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,3.1571,NORMAL,63.6164,66.2984,71.8911,3.9497,4.2905,5.0111,0.0089,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,2.8239,NORMAL,64.3050,66.2984,71.8911,4.0376,4.2905,5.0111,0.0064,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,1.2521,NORMAL,62.1157,66.2984,71.8911,3.7656,4.2905,5.0111,0.0082,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,2.8250,NORMAL,65.6580,66.2984,71.8911,4.2057,4.2905,5.0111,0.0064,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,38.8700,NORMAL,66.9593,66.2984,71.8911,4.3779,4.2905,5.0111,0.0103,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,32.5968,NORMAL,65.4930,66.2984,71.8911,4.1885,4.2905,5.0111,0.0102,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,53.5351,NORMAL,66.7277,66.2984,71.8911,4.3484,4.2905,5.0111,0.0110,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,0.0100,SUSPECT(full:Dist),67.7639,66.2984,71.8911,4.4797,4.2905,5.0111,0.0194,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,21.5297,NORMAL,67.2867,66.2984,71.8911,4.4201,4.2905,5.0111,0.0124,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,5.4788,NORMAL,68.4012,66.2984,71.8911,4.5702,4.2905,5.0111,0.0098,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,8.2615,NORMAL,68.0883,66.2984,71.8911,4.5267,4.2905,5.0111,0.0121,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,12.5340,NORMAL,67.3284,66.2984,71.8911,4.4270,4.2905,5.0111,0.0130,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Malicious,0.0100,"SUSPECT(full:L2-Lo,full:Var-Lo,full:Dist)",56.8858,66.2984,71.8911,3.1560,4.2905,5.0111,0.0486,0.0107,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
