Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",67.8868,54.9196,60.8289,4.5030,2.9483,3.5740,0.2088,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Benign,1.0056,NORMAL,54.3312,54.9196,60.8289,2.8855,2.9483,3.5740,0.0057,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,26.8254,NORMAL,55.8966,54.9196,60.8289,3.0542,2.9483,3.5740,0.0103,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,1.9514,NORMAL,51.4811,54.9196,60.8289,2.5906,2.9483,3.5740,0.0098,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,5.4880,NORMAL,52.6270,54.9196,60.8289,2.7071,2.9483,3.5740,0.0103,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,53.1447,NORMAL,54.4440,54.9196,60.8289,2.8973,2.9483,3.5740,0.0100,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,26.0070,NORMAL,54.8266,54.9196,60.8289,2.9383,2.9483,3.5740,0.0092,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,55.9756,NORMAL,55.3532,54.9196,60.8289,2.9951,2.9483,3.5740,0.0097,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,6.6676,NORMAL,56.9716,54.9196,60.8289,3.1728,2.9483,3.5740,0.0096,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,17.7615,NORMAL,53.6022,54.9196,60.8289,2.8086,2.9483,3.5740,0.0094,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,1.1129,NORMAL,53.2823,54.9196,60.8289,2.7751,2.9483,3.5740,0.0070,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",68.6811,54.9196,60.8289,4.6101,2.9483,3.5740,0.2290,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Benign,24.4294,NORMAL,55.9664,54.9196,60.8289,3.0618,2.9483,3.5740,0.0097,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,1.8230,NORMAL,51.3740,54.9196,60.8289,2.5796,2.9483,3.5740,0.0107,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,1.5421,NORMAL,55.0126,54.9196,60.8289,2.9582,2.9483,3.5740,0.0076,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,1.1505,NORMAL,53.8412,54.9196,60.8289,2.8335,2.9483,3.5740,0.0071,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",66.7245,54.9196,60.8289,4.3498,2.9483,3.5740,0.2206,0.0098,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
