Round,Client_ID,Type,Score,Status,full_l2,full_l2_median,full_l2_threshold,full_var,full_var_median,full_var_threshold,full_dist,full_dist_median,full_dist_threshold,layer_fc.weight_l2,layer_fc.weight_l2_median,layer_fc.weight_l2_threshold,layer_fc.weight_var,layer_fc.weight_var_median,layer_fc.weight_var_threshold,layer_fc.weight_dist,layer_fc.weight_dist_median,layer_fc.weight_dist_threshold
1,0,Benign,18.7172,NORMAL,72.4156,72.6018,75.3446,5.1154,5.1402,5.5262,0.0127,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3403.3296,72.6018,75.3446,11314.1943,5.1402,5.5262,1.0012,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,Benign,2.6455,NORMAL,71.2534,72.6018,75.3446,4.9420,5.1402,5.5262,0.0121,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,Benign,29.6704,NORMAL,72.9841,72.6018,75.3446,5.1922,5.1402,5.5262,0.0154,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,Benign,14.8212,NORMAL,72.4125,72.6018,75.3446,5.1088,5.1402,5.5262,0.0124,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,Benign,27.9600,NORMAL,72.1524,72.6018,75.3446,5.0773,5.1402,5.5262,0.0137,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,Benign,8.4141,NORMAL,73.0640,72.6018,75.3446,5.2004,5.1402,5.5262,0.0118,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,Benign,1.2528,NORMAL,74.6137,72.6018,75.3446,5.4287,5.1402,5.5262,0.0130,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,Benign,1.3438,NORMAL,70.6705,72.6018,75.3446,4.8664,5.1402,5.5262,0.0108,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,Benign,77.0879,NORMAL,72.6955,72.6018,75.3446,5.1516,5.1402,5.5262,0.0140,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,Benign,21.6960,NORMAL,73.1419,72.6018,75.3446,5.2144,5.1402,5.5262,0.0145,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,11,Benign,7.5048,NORMAL,73.5261,72.6018,75.3446,5.2720,5.1402,5.5262,0.0161,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,12,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3370.4749,72.6018,75.3446,11099.9082,5.1402,5.5262,0.9899,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,13,Benign,16.4563,NORMAL,72.8256,72.6018,75.3446,5.1676,5.1402,5.5262,0.0160,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,14,Benign,22.0236,NORMAL,72.5082,72.6018,75.3446,5.1287,5.1402,5.5262,0.0128,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,15,Benign,4.5348,NORMAL,71.7867,72.6018,75.3446,5.0229,5.1402,5.5262,0.0173,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,16,Benign,1.4989,NORMAL,70.7881,72.6018,75.3446,4.8844,5.1402,5.5262,0.0159,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,17,Benign,2.8200,NORMAL,73.9200,72.6018,75.3446,5.3296,5.1402,5.5262,0.0106,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,18,Benign,0.0100,SUSPECT(full:Dist),72.0456,72.6018,75.3446,5.0644,5.1402,5.5262,0.0253,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,19,Benign,2.2910,NORMAL,71.1277,72.6018,75.3446,4.9303,5.1402,5.5262,0.0181,0.0142,0.0207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,Benign,1.5401,NORMAL,51.2971,52.2545,57.3584,2.5721,2.6678,3.1798,0.0781,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3610.8618,52.2545,57.3584,12729.7119,2.6678,3.1798,0.9774,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,Benign,28.7611,NORMAL,52.1993,52.2545,57.3584,2.6622,2.6678,3.1798,0.0660,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,Benign,17.9004,NORMAL,52.2928,52.2545,57.3584,2.6705,2.6678,3.1798,0.0651,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,Benign,9.9668,NORMAL,50.7245,52.2545,57.3584,2.5134,2.6678,3.1798,0.0675,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,Benign,1.5084,NORMAL,53.8726,52.2545,57.3584,2.8361,2.6678,3.1798,0.0585,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,Benign,1.3922,NORMAL,50.6152,52.2545,57.3584,2.4996,2.6678,3.1798,0.0787,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,Benign,1.1698,NORMAL,50.1172,52.2545,57.3584,2.4553,2.6678,3.1798,0.0803,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,Benign,5.2600,NORMAL,54.1904,52.2545,57.3584,2.8698,2.6678,3.1798,0.0714,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,Benign,8.4521,NORMAL,53.8498,52.2545,57.3584,2.8340,2.6678,3.1798,0.0695,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,Benign,13.1871,NORMAL,50.9176,52.2545,57.3584,2.5330,2.6678,3.1798,0.0707,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,11,Benign,1.0384,NORMAL,47.2376,52.2545,57.3584,2.1812,2.6678,3.1798,0.0725,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,12,Malicious,0.0100,"SUSPECT(full:L2-Hi,full:Var-Hi,full:Dist)",3459.9941,52.2545,57.3584,11690.2803,2.6678,3.1798,0.9660,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,13,Benign,62.3924,NORMAL,52.2162,52.2545,57.3584,2.6650,2.6678,3.1798,0.0675,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,14,Benign,62.3924,NORMAL,52.2961,52.2545,57.3584,2.6728,2.6678,3.1798,0.0693,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,15,Benign,4.1046,NORMAL,53.1979,52.2545,57.3584,2.7657,2.6678,3.1798,0.0619,0.0684,0.0815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
