Attack,Model,Defense,10%,20%,30%,40%
Backdoor,LENET5 MNIST,No Defense,45.2 (6.4-76.1),96.9 (85.5-98.9),98.9 (94.2-99.5),99.8 (99.3-99.9)
Backdoor,LENET5 MNIST,Median,0.2 (0.2-0.3),0.4 (0.2-0.9),1.9 (0.3-16.7),96.6 (55.0-99.0)
Backdoor,LENET5 MNIST,Krum,0.3 (0.2-0.3),0.3 (0.3-0.3),0.3 (0.2-0.4),0.4 (0.3-0.4)
Backdoor,LENET5 MNIST,Clustering,2.2 (0.3-36.1),7.3 (0.3-59.8),0.3 (0.1-56.9),0.2 (0.1-0.7)
Backdoor,LENET5 MNIST,OURS,0.2 (0.1-0.2),0.1 (0.1-0.2),0.2 (0.1-0.2),0.2 (0.1-0.2)
Backdoor,RESNET20 CIFAR10,No Defense,56.1 (35.9-69.2),85.9 (74.3-92.1),95.9 (92.6-97.3),98.7 (97.8-99.6)
Backdoor,RESNET20 CIFAR10,Median,20.3 (9.0-31.0),70.5 (41.2-80.4),95.6 (91.0-97.2),97.9 (95.6-98.9)
Backdoor,RESNET20 CIFAR10,Krum,3.0 (1.6-4.9),3.0 (1.8-4.8),3.1 (1.7-5.0),4.1 (2.9-6.5)
Backdoor,RESNET20 CIFAR10,Clustering,4.8 (2.5-23.8),70.2 (12.2-94.0),86.3 (25.6-97.7),98.0 (88.4-99.9)
Backdoor,RESNET20 CIFAR10,OURS,1.8 (1.4-2.3),1.8 (1.4-2.2),2.0 (1.6-2.5),98.2 (85.0-99.7)
Backdoor,RESNET18 CIFAR10,No Defense,86.1 (71.0-91.7),95.8 (92.6-97.2),97.6 (95.6-98.8),98.5 (97.0-99.4)
Backdoor,RESNET18 CIFAR10,Median,73.4 (42.5-83.8),94.7 (89.4-96.4),97.3 (95.5-98.6),97.9 (96.9-98.9)
Backdoor,RESNET18 CIFAR10,Krum,3.8 (2.5-5.2),4.0 (2.7-7.2),3.2 (2.2-5.2),3.1 (1.9-5.2)
Backdoor,RESNET18 CIFAR10,Clustering,57.4 (5.9-87.6),87.1 (6.6-95.9),97.0 (86.9-99.1),98.1 (94.4-99.9)
Backdoor,RESNET18 CIFAR10,OURS,1.5 (1.0-1.9),1.5 (1.2-2.1),2.4 (1.6-4.1),99.5 (96.8-100.0)
Label Flip,LENET5 MNIST,No Defense,0.4 (0.4-1.0),2.2 (0.6-24.4),42.7 (0.4-98.2),49.6 (0.7-98.8)
Label Flip,LENET5 MNIST,Median,0.0 (0.0-0.1),0.3 (0.1-0.4),0.9 (0.7-1.5),4.2 (2.5-10.5)
Label Flip,LENET5 MNIST,Krum,0.1 (0.0-0.2),0.0 (0.0-0.1),0.1 (0.1-0.1),0.0 (0.0-0.0)
Label Flip,LENET5 MNIST,Clustering,0.1 (0.0-10.8),0.1 (0.1-97.9),0.0 (0.0-99.0),0.1 (0.0-98.9)
Label Flip,LENET5 MNIST,OURS,0.0 (0.0-0.2),0.1 (0.0-0.2),0.1 (0.0-0.2),0.0 (0.0-0.2)
Label Flip,RESNET20 CIFAR10,No Defense,0.6 (0.3-1.0),1.4 (0.4-20.4),2.2 (0.2-48.5),22.6 (0.8-84.3)
Label Flip,RESNET20 CIFAR10,Median,0.5 (0.2-0.8),0.5 (0.1-0.9),1.8 (1.2-2.8),3.2 (1.7-5.5)
Label Flip,RESNET20 CIFAR10,Krum,1.4 (0.5-3.3),0.6 (0.1-2.0),1.4 (0.1-4.5),0.5 (0.0-1.6)
Label Flip,RESNET20 CIFAR10,Clustering,0.1 (0.0-6.2),0.2 (0.0-53.3),0.3 (0.1-80.7),0.3 (0.1-90.8)
Label Flip,RESNET20 CIFAR10,OURS,0.3 (0.0-0.7),0.1 (0.1-0.3),0.1 (0.0-0.7),0.3 (0.1-0.7)
Label Flip,RESNET18 CIFAR10,No Defense,0.6 (0.4-1.0),1.1 (0.4-2.2),2.7 (1.0-21.2),10.4 (0.7-83.5)
Label Flip,RESNET18 CIFAR10,Median,0.5 (0.2-0.8),0.6 (0.4-0.9),0.9 (0.5-1.6),4.0 (1.4-11.1)
Label Flip,RESNET18 CIFAR10,Krum,0.9 (0.4-2.0),1.0 (0.3-3.3),1.1 (0.1-2.3),0.9 (0.2-1.7)
Label Flip,RESNET18 CIFAR10,Clustering,0.1 (0.1-4.2),0.2 (0.0-78.2),0.2 (0.1-88.3),0.2 (0.1-91.1)
Label Flip,RESNET18 CIFAR10,OURS,0.2 (0.0-0.4),0.2 (0.2-0.4),0.2 (0.1-0.4),0.2 (0.1-0.6)
