Attack,Model,Defense,10%,20%,30%,40%
NoAttack (Baseline),lenet5_mnist,Upper Bound,99.02,99.02,99.02,99.02
NoAttack (Baseline),resnet20_cifar10,Upper Bound,86.34,86.34,86.34,86.34
NoAttack (Baseline),resnet18_cifar10,Upper Bound,88.37,88.37,88.37,88.37
random_poison,lenet5_mnist,No Defense,95.73,92.52,85.17,80.40
random_poison,lenet5_mnist,Median,98.79,98.92,98.80,98.70
random_poison,lenet5_mnist,Krum,96.53,97.29,97.09,97.20
random_poison,lenet5_mnist,Clustering,95.46,96.93,95.27,94.90
random_poison,lenet5_mnist,OURS,98.86,98.94,98.87,98.82
random_poison,resnet20_cifar10,No Defense,51.07,43.32,31.70,27.38
random_poison,resnet20_cifar10,Median,85.54,84.33,85.06,84.07
random_poison,resnet20_cifar10,Krum,65.22,69.55,69.47,66.65
random_poison,resnet20_cifar10,Clustering,73.32,65.52,59.41,55.28
random_poison,resnet20_cifar10,OURS,84.48,84.38,85.45,84.34
random_poison,resnet18_cifar10,No Defense,43.64,33.23,28.95,23.50
random_poison,resnet18_cifar10,Median,87.80,87.29,87.01,86.14
random_poison,resnet18_cifar10,Krum,66.76,65.00,62.71,62.54
random_poison,resnet18_cifar10,Clustering,63.52,64.90,64.13,62.55
random_poison,resnet18_cifar10,OURS,87.53,86.93,87.26,85.68
gradient_amplify,lenet5_mnist,No Defense,98.96,98.93,93.55,82.68
gradient_amplify,lenet5_mnist,Median,98.96,98.87,99.03,99.00
gradient_amplify,lenet5_mnist,Krum,96.96,97.26,96.37,97.16
gradient_amplify,lenet5_mnist,Clustering,99.01,98.95,92.30,67.37
gradient_amplify,lenet5_mnist,OURS,98.80,98.90,99.06,98.76
gradient_amplify,resnet20_cifar10,No Defense,86.50,85.37,58.71,42.04
gradient_amplify,resnet20_cifar10,Median,85.85,86.37,86.11,86.66
gradient_amplify,resnet20_cifar10,Krum,68.97,64.11,67.61,69.22
gradient_amplify,resnet20_cifar10,Clustering,86.30,85.32,57.75,43.93
gradient_amplify,resnet20_cifar10,OURS,84.62,84.68,84.65,84.24
gradient_amplify,resnet18_cifar10,No Defense,88.92,88.57,79.78,50.22
gradient_amplify,resnet18_cifar10,Median,88.51,88.83,89.48,89.15
gradient_amplify,resnet18_cifar10,Krum,66.08,64.01,63.12,63.60
gradient_amplify,resnet18_cifar10,Clustering,88.70,86.03,69.50,54.11
gradient_amplify,resnet18_cifar10,OURS,87.01,87.24,86.71,85.58
