Scheme,Clients,Param_Power,Param_Size,Comm_Cost_KB,Total_Time_s,Status
BatchCrypt,10,10,1024,44.42,0.2134,UNKNOWN
BatchCrypt,10,15,32768,1227.0,0.7978,UNKNOWN
BatchCrypt,10,20,1048576,29990.48,21.0683,UNKNOWN
BatchCrypt,10,25,33554432,N/A,N/A,UNKNOWN
BatchCrypt,100,10,1024,N/A,N/A,FAILED
BatchCrypt,100,15,32768,N/A,N/A,FAILED
BatchCrypt,100,20,1048576,N/A,N/A,FAILED
BatchCrypt,100,25,33554432,N/A,N/A,FAILED
OURS,10,10,1024,N/A,0.0758,UNKNOWN
SecAgg,10,10,1024,11.46,0.0442,UNKNOWN
SecAgg+,10,10,1024,9.67,0.0146,UNKNOWN
